Billion,iso3,population,Share_N,Share_perc
UHC,TUN,12151571,1570347.264761761,12.92
UHC,TUR,85957260,7386057.079657873,8.59
UHC,TUV,12211,1425.4997209097437,11.67
UHC,TZA,65136238,8689934.995071322,13.34
UHC,UGA,49700758,7789763.9021080695,15.67
UHC,UKR,42911306,5510169.913091544,12.84
UHC,URY,3506374,208738.76784215853,5.95
UHC,USA,336679231,15541775.81518975,4.62
UHC,UZB,34809375,3315183.2837801063,9.52
UHC,VCT,111806,11258.6957705437,10.07
UHC,VEN,30016606,4237675.920528744,14.12
UHC,VNM,99698631,16232626.401614724,16.28
UHC,VUT,329249,53121.559061845976,16.13
UHC,WSM,204568,32655.01583552348,15.96
UHC,YEM,31818240,5287409.107075435,16.62
UHC,ZAF,61452696,8216977.559576792,13.37
UHC,ZMB,20032801,2781226.66499405,13.88
UHC,ZWE,15581023,2300946.614713118,14.77
HPOP,AFG,41681232,6425257.233718955,15.42
HPOP,AGO,36148636,6183285.614388256,17.11
HPOP,ALB,2858418,436941.335826543,15.29
HPOP,AND,77576,6334.406275118635,8.17
HPOP,ARE,10165150,687946.2893147793,6.77
HPOP,ARG,46409173,4764647.220106048,10.27
HPOP,ARM,2974770,340814.27457018953,11.46
HPOP,ATG,100272,9063.431805305234,9.04
HPOP,AUS,26343073,2342265.694966126,8.89
HPOP,AUT,9081181,630091.8493808106,6.94
HPOP,AZE,10370490,895449.7729207664,8.63
HPOP,BDI,12999141,1266696.450021502,9.74
HPOP,BEL,11699400,770466.8848380678,6.59
